"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,2.2271189117414,0.921426305387048,0.972561179368142,1.0763037226161,1.5158275874463,2.0332166541361,2.77637031506223,3.99293529660718,4.40472271376496
"2",3,9,2.09837833095699,0.725318058663992,1.05778391882671,1.15566660173695,1.55160301117537,1.96100974963722,2.52860798075106,3.47868682491762,3.79373892371688
"3",4,10,1.76323025960781,0.563224081028871,0.921655236867639,1.00665255653158,1.34166518713373,1.67114375785517,2.10141342135362,2.81839659000861,3.0668925854549
"4",5,11,1.68884650880517,0.470559049889318,0.955239833439895,1.03796306757998,1.34316191596835,1.62182038711013,1.97125139730524,2.56152956494921,2.76755257732273
"5",6,12,1.75192449849863,0.439246274300427,1.04536827869293,1.12851597548623,1.43100286319972,1.69920761891442,2.02208614539172,2.55405306869193,2.73737335651915
"6",7,13,1.43946345530378,0.367340788425436,0.845857927293658,0.913715665808443,1.17019966327974,1.39674028637139,1.66694591400668,2.10642002988817,2.26183255563501
"7",8,14,1.38862666721974,0.315561230366688,0.864589649058108,0.930087285512508,1.16251920773381,1.3559190653466,1.58058821685931,1.96003262353627,2.09478098485288
"8",9,15,1.21166446141965,0.269489721710174,0.755241433786481,0.814075844709677,1.01935553944473,1.18630316204016,1.37683196650015,1.69455019348397,1.80541140279032
"9",10,16,1.08580524358552,0.233710384421283,0.681072682585997,0.735281436031738,0.91991005858741,1.06801201401153,1.23106727600878,1.50058762117327,1.59328036766821
"10",11,17,1.21771543971231,0.238008869566985,0.798710047739037,0.856531015746965,1.04937466760021,1.20180297779265,1.36770290027947,1.63537895523739,1.73090397305736
"11",12,18,1.13109015126419,0.226551837167315,0.733370474186901,0.786420926639499,0.971551390172476,1.11523908493015,1.27359077051676,1.52802416275173,1.61784267804632
"12",13,19,1.19646122718783,0.229174520915528,0.791224334215957,0.847632371163116,1.03489024617707,1.1813986387167,1.34167948972005,1.5959189042138,1.68765528226987
