"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,2.22036810073807,0.827801858889922,1.17609287418691,1.2375169036323,1.54058989720323,2.00355797477388,2.78093380216137,3.82232421845595,4.0739215982992
"2",3,9,1.90584628358823,0.576082759603903,1.13935462570524,1.19406774844082,1.43836910139033,1.76839081878249,2.29847257389383,3.00510852425571,3.18264993805021
"3",4,10,1.6001150516154,0.402350509855572,1.03251277298268,1.08022909208156,1.27742995426262,1.51765973663425,1.87565532876523,2.35573147823394,2.48324730879238
"4",5,11,1.43749614112475,0.290178327760475,1.00743935849953,1.04955124662947,1.21160743621058,1.38525890675118,1.63020949815356,1.97875515344986,2.07678355284579
"5",6,12,1.31930378170918,0.219444511568584,0.971301779881387,1.01055704941173,1.15420502524053,1.2882260888018,1.46240474432902,1.72300731183746,1.80234594892586
"6",7,13,1.29346732772193,0.180073655774184,0.992759374635244,1.03015922598027,1.16191455180478,1.27452452297406,1.40891262316667,1.61868775729523,1.68314650622916
"7",8,14,1.31460744159881,0.163418047147419,1.03091466444933,1.06779238972316,1.19697087947441,1.30157936559632,1.42087702188673,1.60341429580745,1.66220483335991
"8",9,15,1.22108609629196,0.149701145416856,0.957161862260024,0.992453445352502,1.1134863631291,1.21119605324382,1.32031583676354,1.48207443846392,1.53537188077702
"9",10,16,1.25380816197582,0.1373912484534,1.0075797238217,1.04178184886451,1.1565385057711,1.24593870057664,1.34309986838435,1.49292197287208,1.54155434272564
"10",11,17,1.26397862439068,0.135599006177701,1.0190751964986,1.05266961106242,1.16784615501754,1.25747183158941,1.35345664298932,1.49736465878541,1.54508962946913
"11",12,18,1.28514778501779,0.135680750283964,1.03901335059856,1.07340436576055,1.18921437695434,1.27871506992552,1.37508353079779,1.51843836209358,1.5649762961592
"12",13,19,1.27928135304487,0.136529743542993,1.03139844127458,1.06502971472421,1.1819635111803,1.27327261708781,1.37062219947981,1.51333881413805,1.55922877890132
"13",14,20,1.22429342488032,0.131635747710005,0.986995143349634,1.01893803776605,1.12970281694922,1.21859790958498,1.31236932766349,1.45008781448526,1.49457312768516
"14",15,21,1.19265334644737,0.121016840669237,0.974642816441045,1.00459654598928,1.10674566064025,1.18652767092279,1.27267804602017,1.40197963000848,1.44294807820029
"15",16,22,1.25898985224282,0.118265909700391,1.04340829514892,1.0739924754316,1.17540837692686,1.25348466518069,1.33706379420085,1.46272168907779,1.50431451403443
"16",17,23,1.28607471747578,0.124942224001713,1.05764958270474,1.08911942113997,1.19702695093503,1.28127943283971,1.37005132384404,1.49952904630698,1.54134673438883
"17",18,24,1.29413082566603,0.12984357455807,1.05857062528185,1.09025094147648,1.20069035320524,1.28911380630929,1.38257543592813,1.5153241366774,1.55770443399571
"18",19,25,1.19403955484691,0.124185111933004,0.969521668696012,0.999623967156287,1.103953604272,1.18863644619976,1.27934351393511,1.40565385723019,1.44502422309916
"19",20,26,1.27351549661001,0.116553271428152,1.06388129787536,1.09241185391108,1.18974722580537,1.26739546877676,1.35115427365777,1.47421517505455,1.51426397710526
"20",21,27,1.28776778645932,0.123120297343391,1.06437512944324,1.0948314659894,1.19890076412702,1.28299256907792,1.37161939138474,1.49717153867077,1.53751504464063
"21",22,28,1.26591161119964,0.12491411983706,1.04131605793391,1.07053924808553,1.17434955815696,1.26116017031073,1.35236731591694,1.47763143555562,1.51710169764161
